Round,Timestamp,Accuracy,Loss
1,18.71,96.50,0.1191
2,28.51,97.98,0.0615
3,38.54,98.46,0.0464
4,48.52,98.67,0.0395
5,58.56,98.84,0.0368
6,68.55,98.88,0.0334
7,78.58,99.01,0.0320
8,112.25,98.98,0.0297
9,122.30,98.97,0.0298
10,132.31,98.99,0.0293
11,142.34,99.04,0.0290
12,152.33,99.14,0.0285
13,162.35,99.09,0.0274
14,171.38,99.13,0.0267
15,181.42,99.12,0.0277
16,191.45,99.16,0.0276
17,201.45,99.12,0.0269
18,211.43,99.17,0.0265
19,221.46,99.16,0.0274
20,231.52,99.17,0.0275
