Round,Accuracy
1,96.50
2,97.98
3,98.46
4,98.67
5,98.84
6,98.88
7,99.01
8,98.98
9,98.97
10,98.99
11,99.04
12,99.14
13,99.09
14,99.13
15,99.12
16,99.16
17,99.12
18,99.17
19,99.16
20,99.17
