Round,Accuracy
1,96.66
2,97.98
3,98.35
4,98.63
5,98.63
6,98.68
7,98.68
8,98.78
9,98.92
10,98.85
11,98.94
12,98.9
13,98.99
14,98.96
15,98.91
16,98.94
17,98.97
18,98.92
19,98.94
20,98.93
