Round,Accuracy
1,96.89
2,97.73
3,98.27
4,98.4
5,98.6
6,89.04
7,98.37
8,98.54
9,98.7
10,98.99
11,98.88
12,98.95
13,98.84
14,98.71
15,98.97
16,98.92
17,98.92
18,98.99
19,99.02
20,98.95
