Round,Accuracy
1,96.4
2,97.77
3,98.05
4,98.41
5,98.66
6,98.85
7,98.75
8,98.83
9,98.85
10,98.76
11,98.7
12,98.91
13,98.89
14,98.95
15,98.78
16,98.93
17,98.84
18,98.94
19,98.83
20,98.89
