Round,Timestamp,Accuracy,Loss
1,12.172627449035645,96.4,0.19749418669793722
2,22.11983847618103,97.77,0.11818197334362356
3,32.01479744911194,98.05,0.10024783180164856
4,41.79267692565918,98.41,0.09058035514770789
5,52.1639678478241,98.66,0.07491464673679735
6,62.321141958236694,98.85,0.0676573657919751
7,71.99260520935059,98.75,0.07729056442131911
8,81.61792492866516,98.83,0.07322278790415433
9,91.79525589942932,98.85,0.07591299990829112
10,101.86614084243774,98.76,0.07773687644268994
11,111.61155557632446,98.7,0.08704674776520531
12,121.70952129364014,98.91,0.07849875863639938
13,131.46220874786377,98.89,0.08288186763514742
14,141.06912517547607,98.95,0.0881095955973485
15,150.94600176811218,98.78,0.08985284317094294
16,160.83056902885437,98.93,0.08886820379146039
17,170.49204969406128,98.84,0.09651992328721719
18,180.33643794059753,98.94,0.09219319638871608
19,190.37461352348328,98.83,0.0990413197550436
20,199.95134806632996,98.89,0.09544374376761403
